DATE_RESERVATION;PLAGE_HORAIRE;STATUT;STRUCTURE;NOM_COMPLET;FONCTION;DATE_CREATION;PONT_SITE
2022-02-02;JOUR;VALIDE;PROLINE LOGISTIC;2022-02-02;RESPONSABLE PESEUR;2022-01-07 16:02:55;R et R
2022-02-02;JOUR;VALIDE;DUVICK;2022-02-02;DIRECTEUR DES OPÃRATIONS PHYSIQUE;2022-01-12 14:04:51;DUVICK
2022-02-02;JOUR;VALIDE;OLAM;2022-02-02;coordinateur pesage;2022-01-13 11:37:19;USINE UNICAO PONT02
2022-02-02;JOUR;VALIDE;CTM;2022-02-02;DGA;2022-01-17 11:29:13;CTM
2022-02-02;JOUR;VALIDE;ITCA;2022-02-02;RESPONSABLE PRODUITS FINIS;2022-01-17 15:51:29;ITCA
2022-02-02;JOUR;REJETE;MANTRA;2022-02-02;AGENT LOGISTICS;2022-01-27 12:40:09;MANTRA
2022-02-02;JOUR;VALIDE;MOVIS;2022-02-02;RESPONSABLE PT BASCULE;2022-01-27 15:56:10;CFS 4 VRIDI
2022-02-02;JOUR;VALIDE;SACO;2022-02-02;AGENT LOGISTIQUE;2022-01-28 09:31:16;SACO ABIDJAN
2022-02-02;JOUR;VALIDE;;2022-02-02;RESPONSABLE LOGISTIQUE;2022-01-28 12:24:55;STNC
2022-02-02;JOUR;VALIDE;MEDLOG;2022-02-02;responsable pont bascule;2022-01-28 15:21:28;MEDLOG
2022-02-02;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-02;AGENT ADMINISTRATIF;2022-01-31 12:27:05;VRIDI 2 STATION VRAC
2022-02-02;JOUR;VALIDE;SEAFEM;2022-02-02;DIRECTEUR GENERAL;2022-01-31 13:56:40;SEAFEM
2022-02-02;JOUR;VALIDE;ZAMACOM;2022-02-02;RESPONSABLE TRANSIT ;2022-01-31 16:17:52;ZAMACOM PONT 1
2022-02-02;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-02;AGENT;2022-02-01 09:58:53;COTON RAN
2022-02-02;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-02;AGENT;2022-02-01 09:59:07;T6
2022-02-02;JOUR;REJETE;BOLLORE TRANSPORT & LOGISTICS;2022-02-02;AGENT;2022-02-01 09:59:09;T6
2022-02-02;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-02;AGENT;2022-02-01 09:59:21;VRIDI 3 PONT 1
2022-02-02;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-02;AGENT;2022-02-01 09:59:32;VRIDI 3 PONT 2
2022-02-02;JOUR;VALIDE;TRCI;2022-02-02;RESP PRODUIT FINI;2022-02-01 10:15:00;TRCI ANGUEDEDOU
2022-02-02;JOUR;REJETE;SUTEC;2022-02-02;ASSISTANTE DOT;2022-02-01 12:19:02;SUTEC EX DAFCI
2022-02-02;JOUR;VALIDE;GMCI;2022-02-02;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-01 14:46:50;GMCI GARE DU MALI
2022-02-02;JOUR;VALIDE;GMCI;2022-02-02;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-01 14:46:55;GMCI GESTOCI
2022-02-02;JOUR;VALIDE;SOGENA;2022-02-02;SUPERVISEUR;2022-02-01 14:47:27;SOGENA
2022-02-02;JOUR;VALIDE;GMCI;2022-02-02;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-01 14:47:42;GMCI HINO
2022-02-02;JOUR;VALIDE;MANTRA;2022-02-02;AGENT LOGISTICS;2022-02-01 14:51:05;YIRIMA
2022-02-02;JOUR;VALIDE;APM TERMINAL;2022-02-02;RESPONSABLE PONT BASCULE;2022-02-01 15:09:33;APM TERMINAL
2022-02-02;NUIT;VALIDE;CCI - COTE DIVOIRE;2022-02-02;CHEF DE SERVICE METROLOGIE;2021-12-03 11:15:39;CCI-CI PONT N2
2022-02-02;NUIT;VALIDE;PROLINE LOGISTIC;2022-02-02;RESPONSABLE PESEUR;2022-01-07 16:03:01;R et R
2022-02-02;NUIT;REJETE;MANTRA;2022-02-02;AGENT LOGISTICS;2022-01-27 12:40:42;MANTRA
2022-02-02;NUIT;ANNULE;BOLLORE TRANSPORT & LOGISTICS;2022-02-02;AGENT ADMINISTRATIF;2022-01-31 12:27:14;VRIDI 2 STATION VRAC
2022-02-02;NUIT;VALIDE;SEAFEM;2022-02-02;DIRECTEUR GENERAL;2022-01-31 13:56:00;SEAFEM
2022-02-02;NUIT;VALIDE;ZAMACOM;2022-02-02;RESPONSABLE TRANSIT ;2022-01-31 16:18:01;ZAMACOM PONT 1
2022-02-02;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-02;AGENT;2022-02-01 09:59:47;T6
2022-02-02;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-02;AGENT;2022-02-01 09:59:56;VRIDI 3 PONT 1
2022-02-02;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-02;AGENT;2022-02-01 10:00:05;VRIDI 3 PONT 2
2022-02-02;NUIT;ANNULE;FARLIN COMMODITIES;2022-02-02;SELVA SIR;2022-02-01 12:43:53;FARLIN
2022-02-02;NUIT;VALIDE;APM TERMINAL;2022-02-02;RESPONSABLE PONT BASCULE;2022-02-01 15:09:44;APM TERMINAL
2022-02-02;NUIT;VALIDE;CARGILL COCOA;2022-02-02;SUPERVISEUR OPÃRATIONS SHIPPING;2022-02-01 18:04:06;CARGILL COCOA YOP
2022-02-02;NUIT;VALIDE;SACO;2022-02-02;CONTAINER FLEET MANAGEMENT LEAD;2022-02-02 08:34:25;SACO ABIDJAN
2022-02-02;NUIT;VALIDE;coic sa;2022-02-02;GESTIONNAIRE DE STOCKS ;2022-02-02 13:39:54;COIC
2022-02-02;NUIT;VALIDE;GMCI;2022-02-02;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-02 14:22:05;GMCI HINO
2022-02-02;NUIT;VALIDE;SOGENA;2022-02-02;SUPERVISEUR;2022-02-02 15:10:31;SOGENA
2022-02-02;NUIT;VALIDE;DUVICK;2022-02-02;RESPONSABLES / VICE ;2022-02-02 15:16:53;DUVICK
2022-02-02;NUIT;VALIDE;MOVIS;2022-02-02;RESPONSABLE PT BASCULE;2022-02-02 15:24:02;CFS 4 VRIDI
2022-02-02;NUIT;VALIDE;MANTRA;2022-02-02;AGENT LOGISTICS;2022-02-02 15:25:11;YIRIMA
2022-02-02;NUIT;REJETE;MEDLOG;2022-02-02;responsable pont bascule;2022-02-02 15:57:17;MEDLOG
2022-02-03;JOUR;VALIDE;coic sa;2022-02-03;GESTIONNAIRE DE STOCKS;2021-12-06 15:12:31;COIC
2022-02-03;JOUR;VALIDE;SOGENA;2022-02-03;SUPERVISEUR;2022-01-03 15:17:41;SOGENA EX-CAISTAB
2022-02-03;JOUR;VALIDE;PROLINE LOGISTIC;2022-02-03;RESPONSABLE PESEUR;2022-01-07 16:04:12;R et R
2022-02-03;JOUR;VALIDE;DUVICK;2022-02-03;DIRECTEUR DES OPÃRATIONS PHYSIQUE;2022-01-12 14:05:03;DUVICK
2022-02-03;JOUR;VALIDE;OLAM;2022-02-03;coordinateur pesage;2022-01-13 11:37:41;USINE UNICAO PONT02
2022-02-03;JOUR;VALIDE;CTM;2022-02-03;DGA;2022-01-17 11:29:29;CTM
2022-02-03;JOUR;VALIDE;ITCA;2022-02-03;RESPONSABLE PRODUITS FINIS;2022-01-17 15:51:54;ITCA
2022-02-03;JOUR;VALIDE;SACO;2022-02-03;AGENT LOGISTIQUE;2022-01-28 09:31:24;SACO ABIDJAN
2022-02-03;JOUR;VALIDE;;2022-02-03;RESPONSABLE LOGISTIQUE;2022-01-28 12:24:13;STNC
2022-02-03;JOUR;VALIDE;MEDLOG;2022-02-03;responsable pont bascule;2022-01-28 15:21:59;MEDLOG
2022-02-03;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-03;AGENT ADMINISTRATIF;2022-01-31 12:27:25;VRIDI 2 STATION VRAC
2022-02-03;JOUR;VALIDE;SEAFEM;2022-02-03;DIRECTEUR GENERAL;2022-01-31 14:00:08;SEAFEM
2022-02-03;JOUR;VALIDE;MOVIS;2022-02-03;RESPONSABLE PT BASCULE;2022-01-31 14:44:10;CFS 4 VRIDI
2022-02-03;JOUR;VALIDE;ZAMACOM;2022-02-03;RESPONSABLE TRANSIT ;2022-01-31 16:18:12;ZAMACOM PONT 1
2022-02-03;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-03;AGENT;2022-02-01 10:00:37;COTON RAN
2022-02-03;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-03;AGENT;2022-02-01 10:01:00;T6
2022-02-03;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-03;AGENT;2022-02-01 10:01:14;VRIDI 3 PONT 1
2022-02-03;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-03;AGENT;2022-02-01 10:01:26;VRIDI 3 PONT 2
2022-02-03;JOUR;VALIDE;APM TERMINAL;2022-02-03;RESPONSABLE PONT BASCULE;2022-02-01 15:10:08;APM TERMINAL
2022-02-03;JOUR;REJETE;MANTRA;2022-02-03;AGENT LOGISTICS;2022-02-01 15:31:15;MANTRA
2022-02-03;JOUR;VALIDE;CARGILL COCOA;2022-02-03;SUPERVISEUR OPÃRATIONS SHIPPING;2022-02-01 18:04:21;CARGILL COCOA YOP
2022-02-03;JOUR;VALIDE;FARLIN COMMODITIES;2022-02-03;SELVA SIR;2022-02-02 09:16:45;FARLIN
2022-02-03;JOUR;VALIDE;SUTEC;2022-02-03;ASSISTANTE DOT;2022-02-02 11:17:33;SUTEC EX DAFCI
2022-02-03;JOUR;VALIDE;GMCI;2022-02-03;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-02 14:22:15;GMCI HINO
2022-02-03;JOUR;VALIDE;GMCI;2022-02-03;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-02 14:22:24;GMCI GARE DU MALI
2022-02-03;JOUR;VALIDE;GMCI;2022-02-03;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-02 14:22:43;GMCI GESTOCI
2022-02-03;JOUR;VALIDE;MANTRA;2022-02-03;AGENT LOGISTICS;2022-02-02 15:25:45;YIRIMA
2022-02-03;NUIT;VALIDE;CCI - COTE DIVOIRE;2022-02-03;CHEF DE SERVICE METROLOGIE;2021-12-03 11:15:48;CCI-CI PONT N2
2022-02-03;NUIT;VALIDE;PROLINE LOGISTIC;2022-02-03;RESPONSABLE PESEUR;2022-01-07 16:04:17;R et R
2022-02-03;NUIT;ANNULE;BOLLORE TRANSPORT & LOGISTICS;2022-02-03;AGENT ADMINISTRATIF;2022-01-31 12:30:06;VRIDI 2 STATION VRAC
2022-02-03;NUIT;VALIDE;SEAFEM;2022-02-03;DIRECTEUR GENERAL;2022-01-31 14:02:08;SEAFEM
2022-02-03;NUIT;VALIDE;ZAMACOM;2022-02-03;RESPONSABLE TRANSIT ;2022-01-31 16:18:22;ZAMACOM PONT 1
2022-02-03;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-03;AGENT;2022-02-01 10:01:56;T6
2022-02-03;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-03;AGENT;2022-02-01 10:02:18;VRIDI 3 PONT 1
2022-02-03;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-03;AGENT;2022-02-01 10:02:30;VRIDI 3 PONT 2
2022-02-03;NUIT;VALIDE;APM TERMINAL;2022-02-03;RESPONSABLE PONT BASCULE;2022-02-01 15:10:01;APM TERMINAL
2022-02-03;NUIT;REJETE;MANTRA;2022-02-03;AGENT LOGISTICS;2022-02-01 15:31:52;MANTRA
2022-02-03;NUIT;VALIDE;CARGILL COCOA;2022-02-03;SUPERVISEUR OPÃRATIONS SHIPPING;2022-02-01 18:04:30;CARGILL COCOA YOP
2022-02-03;NUIT;REJETE;CARGILL COCOA;2022-02-03;SUPERVISEUR OPÃRATIONS SHIPPING;2022-02-01 18:04:32;CARGILL COCOA YOP
2022-02-03;NUIT;VALIDE;LTA;2022-02-03;RESPONSABLE;2022-02-03 11:37:33;LTA 1
2022-02-03;NUIT;VALIDE;SUTEC;2022-02-03;ASSISTANTE DOT;2022-02-03 13:56:12;SUTEC EX DAFCI
2022-02-03;NUIT;VALIDE;;2022-02-03;RESPONSABLE LOGISTIQUE;2022-02-03 14:12:19;STNC
2022-02-03;NUIT;VALIDE;DUVICK;2022-02-03;RESPONSABLES / VICE ;2022-02-03 14:13:57;DUVICK
2022-02-03;NUIT;VALIDE;coic sa;2022-02-03;GESTIONNAIRE DE STOCKS;2022-02-03 14:19:50;COIC
2022-02-03;NUIT;VALIDE;GMCI;2022-02-03;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-03 14:33:31;GMCI GARE DU MALI
2022-02-03;NUIT;VALIDE;MOVIS;2022-02-03;RESPONSABLE PT BASCULE;2022-02-03 14:47:43;CFS 4 VRIDI
2022-02-03;NUIT;VALIDE;SOGENA;2022-02-03;SUPERVISEUR;2022-02-03 15:05:53;SOGENA
2022-02-03;NUIT;VALIDE;SACO;2022-02-03;CONTAINER FLEET MANAGEMENT LEAD;2022-02-03 15:16:56;SACO ABIDJAN
2022-02-03;NUIT;VALIDE;GMCI;2022-02-03;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-03 15:18:33;GMCI GESTOCI
2022-02-03;NUIT;VALIDE;MANTRA;2022-02-03;AGENT LOGISTICS;2022-02-03 15:42:35;YIRIMA
2022-02-04;NUIT;ANNULE;CARGILL COCOA;2022-02-04;SUPERVISEUR OPÃRATIONS SHIPPING;2022-02-01 18:04:51;CARGILL COCOA YOP
2022-02-04;JOUR;VALIDE;coic sa;2022-02-04;GESTIONNAIRE DE STOCKS;2021-12-06 15:12:39;COIC
2022-02-04;JOUR;VALIDE;SOGENA;2022-02-04;SUPERVISEUR;2022-01-03 15:17:51;SOGENA EX-CAISTAB
2022-02-04;JOUR;VALIDE;PROLINE LOGISTIC;2022-02-04;RESPONSABLE PESEUR;2022-01-07 16:04:56;R et R
2022-02-04;JOUR;VALIDE;DUVICK;2022-02-04;DIRECTEUR DES OPÃRATIONS PHYSIQUE;2022-01-12 14:05:13;DUVICK
2022-02-04;JOUR;VALIDE;OLAM;2022-02-04;coordinateur pesage;2022-01-13 11:38:16;USINE UNICAO PONT02
2022-02-04;JOUR;VALIDE;CTM;2022-02-04;DGA;2022-01-17 11:30:10;CTM
2022-02-04;JOUR;VALIDE;ITCA;2022-02-04;RESPONSABLE PRODUITS FINIS;2022-01-17 15:52:33;ITCA
2022-02-04;JOUR;VALIDE;SACO;2022-02-04;AGENT LOGISTIQUE;2022-01-28 09:34:06;SACO ABIDJAN
2022-02-04;JOUR;VALIDE;;2022-02-04;RESPONSABLE LOGISTIQUE;2022-01-28 12:25:17;STNC
2022-02-04;JOUR;VALIDE;MEDLOG;2022-02-04;responsable pont bascule;2022-01-28 15:22:10;MEDLOG
2022-02-04;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-04;AGENT ADMINISTRATIF;2022-01-31 12:30:17;VRIDI 2 STATION VRAC
2022-02-04;JOUR;VALIDE;SEAFEM;2022-02-04;DIRECTEUR GENERAL;2022-01-31 14:07:27;SEAFEM
2022-02-04;JOUR;VALIDE;MOVIS;2022-02-04;RESPONSABLE PT BASCULE;2022-01-31 14:44:23;CFS 4 VRIDI
2022-02-04;JOUR;VALIDE;ZAMACOM;2022-02-04;RESPONSABLE TRANSIT ;2022-01-31 16:18:34;ZAMACOM PONT 1
2022-02-04;JOUR;ANNULE;ZAMACOM;2022-02-04;RESPONSABLE TRANSIT ;2022-01-31 16:18:36;ZAMACOM PONT 1
2022-02-04;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-04;AGENT;2022-02-01 10:03:05;COTON RAN
2022-02-04;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-04;AGENT;2022-02-01 10:03:28;T6
2022-02-04;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-04;AGENT;2022-02-01 10:03:40;VRIDI 3 PONT 1
2022-02-04;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-04;AGENT;2022-02-01 10:04:00;VRIDI 3 PONT 2
2022-02-04;JOUR;VALIDE;APM TERMINAL;2022-02-04;RESPONSABLE PONT BASCULE;2022-02-01 15:10:24;APM TERMINAL
2022-02-04;JOUR;REJETE;MANTRA;2022-02-04;AGENT LOGISTICS;2022-02-01 15:34:57;MANTRA
2022-02-04;JOUR;ANNULE;CARGILL COCOA;2022-02-04;SUPERVISEUR OPÃRATIONS SHIPPING;2022-02-01 18:04:40;CARGILL COCOA YOP
2022-02-04;JOUR;VALIDE;CARGILL COCOA;2022-02-04;SUPERVISEUR OPÃRATIONS SHIPPING;2022-02-01 18:04:42;CARGILL COCOA YOP
2022-02-04;JOUR;VALIDE;FARLIN COMMODITIES;2022-02-04;SELVA SIR;2022-02-02 09:17:17;FARLIN
2022-02-04;JOUR;VALIDE;TRCI;2022-02-04;RESP PRODUIT FINI;2022-02-03 09:20:20;TRCI ANGUEDEDOU
2022-02-04;JOUR;VALIDE;SUTEC;2022-02-04;ASSISTANTE DOT;2022-02-03 14:10:25;SUTEC EX DAFCI
2022-02-04;JOUR;VALIDE;GMCI;2022-02-04;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-03 14:32:52;GMCI GARE DU MALI
2022-02-04;JOUR;REJETE;GMCI;2022-02-04;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-03 14:32:59;GMCI GESTOCI
2022-02-04;JOUR;VALIDE;GMCI;2022-02-04;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-03 14:33:07;GMCI HINO
2022-02-04;JOUR;VALIDE;MANTRA;2022-02-04;AGENT LOGISTICS;2022-02-03 15:42:55;YIRIMA
2022-02-04;NUIT;VALIDE;CCI - COTE DIVOIRE;2022-02-04;CHEF DE SERVICE METROLOGIE;2021-12-03 11:15:57;CCI-CI PONT N2
2022-02-04;NUIT;VALIDE;PROLINE LOGISTIC;2022-02-04;RESPONSABLE PESEUR;2022-01-07 16:05:20;R et R
2022-02-04;NUIT;ANNULE;BOLLORE TRANSPORT & LOGISTICS;2022-02-04;AGENT ADMINISTRATIF;2022-01-31 12:30:26;VRIDI 2 STATION VRAC
2022-02-04;NUIT;VALIDE;SEAFEM;2022-02-04;DIRECTEUR GENERAL;2022-01-31 14:07:55;SEAFEM
2022-02-04;NUIT;VALIDE;ZAMACOM;2022-02-04;RESPONSABLE TRANSIT ;2022-01-31 16:18:45;ZAMACOM PONT 1
2022-02-04;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-04;AGENT;2022-02-01 10:04:20;T6
2022-02-04;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-04;AGENT;2022-02-01 10:04:30;VRIDI 3 PONT 1
2022-02-04;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-04;AGENT;2022-02-01 10:04:45;VRIDI 3 PONT 2
2022-02-04;NUIT;VALIDE;APM TERMINAL;2022-02-04;RESPONSABLE PONT BASCULE;2022-02-01 15:10:38;APM TERMINAL
2022-02-04;NUIT;VALIDE;MANTRA;2022-02-04;AGENT LOGISTICS;2022-02-01 15:33:23;MANTRA
2022-02-04;NUIT;VALIDE;CARGILL COCOA;2022-02-04;SUPERVISEUR OPÃRATIONS SHIPPING;2022-02-01 18:04:49;CARGILL COCOA YOP
2022-02-04;NUIT;VALIDE;SUTEC;2022-02-04;ASSISTANTE DOT;2022-02-04 09:25:12;SUTEC EX DAFCI
2022-02-04;NUIT;VALIDE;DUVICK;2022-02-04;RESPONSABLES / VICE ;2022-02-04 11:27:44;DUVICK
2022-02-04;NUIT;VALIDE;SOGENA;2022-02-04;SUPERVISEUR;2022-02-04 11:43:32;SOGENA
2022-02-04;NUIT;VALIDE;;2022-02-04;RESPONSABLE LOGISTIQUE;2022-02-04 12:12:01;STNC
